generation,best_fitness,mean_fitness,best_agent,duration,total duration,all_fitness
11,3,-176,14,63.27866315841675,738.0860359668732,"[-130.3899841824157, -131.30778245831766, -121.84683799660172, -120.67381182581349, -153.28245924578513, -106.68372709085307, -128.37648962116717, -218.6543052566935, -76.3575975497092, -125.34277046532566, -147.75268276444177, -1136.897237745422, -75.9608613137049, -130.24560655492422, 17.32714362989583, -7.373427618357766, -123.79914979474023, -80.94725659115849, -131.62129274628688, -123.0304184087918]"
12,-3,-159,9,63.953224182128906,802.0392601490021,"[-121.70309013821604, -125.4065567980597, -803.3220211012358, -150.33208435870003, -105.36009475926589, -64.19267396433857, -149.40829050768448, -141.81455279657928, -133.23875579343556, 13.366762745875274, -99.49460216575422, -99.46984117506385, -125.1120071781604, -122.64502976104968, -93.88130404038641, -93.88568917257366, -102.40091307963569, -139.91180438357603, -124.05806596858976, -74.23240465025869]"
13,-23,-134,17,63.428592681884766,865.4678528308868,"[-116.54981397654186, -147.91454338083733, -96.80964206486112, -150.24860349965465, -97.74763879283861, -108.73697167273158, -151.27673358018572, -110.50006058130029, -135.61796396277788, -118.58354231281228, -71.57487013129085, -118.72248648121015, -104.57303874976625, -155.61236400891693, -152.38066276054133, -94.70086044887074, -110.95816377557173, -3.5012125159562117, -133.5365317651796, -108.81202314653646]"
14,25,-150,3,63.56486773490906,929.032720565796,"[-680.5121240072529, -106.29028456322871, -8.161044513153907, 48.54416489001581, -140.26951191279235, -8.087621238404719, -112.37616990003272, -136.3016292077232, -127.43525774756094, -118.42096795141018, -69.6283360032748, -110.24428754057482, -144.99844055900098, -131.9090984583202, -125.1438465039958, -118.62258686584065, -73.3596922529126, -107.22327353685628, -145.26173523734533, -132.99077165715863]"
15,5,-147,17,66.8158004283905,995.8485209941864,"[-143.40225106370093, -100.6329908929052, -108.39976096937336, -75.19529972748838, -161.5386469522621, -120.46102813678745, -82.2482679963908, -89.50422423887484, -483.93726964380255, -96.10378298191965, -167.32405988288332, -122.47087603806334, -165.12041504157023, -147.8033141295346, 22.178995868464963, -85.728807574756, -140.0019171897199, 32.01027799715776, -91.23418630093089, -98.63431288161915]"
16,-56,-157,7,66.04986357688904,1061.8983845710754,"[-109.97341776289531, -95.55618168392161, -121.99535261038878, -121.84401013812655, -126.21357595013512, -93.15658045201306, -114.58778961187463, -26.34197677992077, -73.59078019653882, -98.01830707359332, -133.3985087137552, -131.5129165221112, -539.3731900644616, -89.7511910861989, -121.63224913072463, -140.70494586578803, -112.96367866438698, -111.00152122930814, -136.31338671399874, -54.25546613315899]"
17,-19,-163,10,63.07470083236694,1124.9730854034424,"[-150.24000819036064, -84.56239312662606, -122.22321436106668, -73.01339553039668, -113.68997900241203, -103.42306130376932, -123.90856797533908, -131.56662312538697, -118.55786983934851, -122.74404241642205, 14.751867102403537, -115.47577246101619, -102.76167275181797, -96.1622202752547, -646.8489676094812, -103.91479221540138, -107.88581671040413, -112.91851813216098, -49.31719752847329, -121.65883742349178]"
18,-81,-170,7,64.75679016113281,1189.7298755645752,"[-100.0164512617678, -128.72542581141468, -63.85471785694002, -120.93808036348707, -142.40275064235266, -117.77468209571197, -71.83462621717982, -42.6322548146829, -105.74851393714374, -703.8262424698238, -133.44785964022148, -117.45742342475958, -102.26548699338315, -63.844384556608524, -81.99390403177313, -129.58349843995427, -85.02211193221189, -113.18906443307674, -95.31880465573016, -119.39829383189766]"
19,27,-131,10,66.93617630004883,1256.666051864624,"[-112.07736570222136, -138.50590481116967, -117.410575702805, -139.7968556627535, -138.15842050245217, -79.54695788340692, -123.01128597824328, -132.72670081903905, -59.61868711512108, -100.32116891168735, 70.13842221098983, -50.14740694370116, -78.74666303567105, -149.13977852949864, -66.27338022344256, 0.065221578489286, -43.160217612819054, -106.31483485914686, -78.05552298139364, -115.79503275966499]"
20,-85,-146,9,69.55813312530518,1326.2241849899292,"[-115.42232389679276, -74.94607453921779, -84.26214208476506, -58.94800773670952, -265.8755426374897, -99.83810614121657, -125.13725407147123, -86.89896553763992, -95.06921330733638, -37.62300609998034, -114.17398257054259, -99.69081690266412, -80.8227781268981, -75.3577172627823, -76.61253807607713, -114.3966758180591, -68.28773416772302, -52.84824128259232, -162.71983987251625, -86.15934871850521]"
21,-105,-148,15,66.91228103637695,1393.1364660263062,"[-66.46762428774701, -57.81076054831186, -96.9959205215406, -64.48982304784553, -85.38018115861266, -80.5600854735153, -64.60177425218933, -83.75911855598164, -100.98009836058787, -87.80652292104605, -84.720736703576, -57.138456979730506, -60.28804135164856, -473.9442788699789, -102.20057125716625, -52.62805795762529, -68.05654962363454, -56.32751941668252, -62.247423482969225, -99.54815065588659]"
22,16,-260,19,79.42783856391907,1472.5643045902252,"[-7.283754114967763, -25.148266448353212, -5.2012015863645615, 2.081920690068472, -9.141346829117595, -25.134991688402323, -5.563486159160476, 110.40159519920559, -2675.1926696708656, -25.998604489728933, -36.764995223553115, -32.344573502072365, 1.855185817905209, 20.44078121970935, -15.368997529452656, -10.991019691438026, 5.930035159649577, -40.85306598318661, 23.237401597441277, 146.9136695964128]"
23,2,-138,7,71.303640127182,1543.8679447174072,"[-87.61274251357274, -28.059228522341087, -74.27543555735288, -75.54773832492226, -109.85674161829054, -70.6738781742974, -90.35806418176163, 66.75844730610659, -71.399274071128, -99.10750027434047, -65.09581260669152, -62.267710827754726, -59.54670069065965, -62.728632888770264, -90.74903095164548, -242.57891193447722, -40.42228651481004, -95.64919935342651, -49.07757841142653, -87.67254264088622]"
24,-101,-142,19,70.80014395713806,1614.6680886745453,"[-50.44122595226075, -51.724372021194725, -232.40420062278645, -62.33025313232763, -61.25651551702181, -39.3362752064853, -81.60792844220252, -76.95890381002606, -67.65015314852555, -43.70989681809924, -67.04608533151504, -41.88724173405585, -146.39055540595746, -67.36371857382336, -38.28650033677981, -73.47799014758114, -77.91051486777239, -88.17031912611019, -60.00285736168921, -31.698119568465685]"
25,-93,-183,16,70.52647566795349,1685.1945643424988,"[-41.52173701734327, -27.476033937885802, -41.24051697860156, -219.18307261565656, -84.02525003296489, -824.9716877853525, -69.69708010579185, -66.19031628511837, -205.2626076620909, -68.83175712335915, -58.255863823803935, -63.041461938300046, -26.617880112259883, -52.65304837091733, -52.5649919307194, -42.20345221904799, -17.560186862824395, -91.18196936457588, -48.14411898258646, -61.5391030984523]"
26,-94,-138,5,68.10468816757202,1753.2992525100708,"[-59.5432003256083, -53.766050660804325, -42.67477139813306, -68.0298926112309, -47.63845698307176, -11.814615339713896, -47.13587363202802, -60.042465965214774, -98.59797411713987, -59.3653970636916, -58.67424851767058, -34.176964606210674, -57.78611443213589, -43.940855742453465, -112.98784019433137, -17.789854896451914, -33.74972408658971, -71.60590380934417, -55.66809556971623, -85.94616538635753]"
27,-87,-215,0,77.3108491897583,1830.610101699829,"[62.85962351305358, -285.93722442431044, 3.6756180432963674, 15.145170400415111, 17.278938698679212, 25.565142172004585, 42.15010541583095, -4.790447603217473, -18.412672885871928, 8.780957322402713, -337.9881556076691, 37.57349342761731, 9.05233866248409, 28.169292017721915, -940.3166348583054, 7.8133177589890295, -32.08402922289244, 34.189573688030094, -2.365611761810186, 13.994230248686705]"
28,-84,-133,6,72.92709398269653,1903.5371956825256,"[-29.494774509230126, -27.290699693458265, -59.870419457604015, -46.70077387808024, -96.17414373449182, -25.14647398950504, 11.09960790959235, -60.67813297321655, -44.1630710540924, -22.589321765881664, -61.93698211805605, -40.33578514202006, -46.81563222671659, -20.584096313740304, -22.524319362311985, -44.39885392037968, -29.76726008503681, -24.91014682245978, -25.293089912065852, -36.510212279111585]"
29,-45,-197,1,73.3916015625,1976.9287972450256,"[26.75455158854507, 104.60809369938588, 40.048473351995995, -457.6670707022945, 39.324284878814126, 60.997499427508984, 9.955155446336505, 20.40310636024259, -310.1314747240759, 40.2948658684206, 20.91851138272756, 32.744417867500204, -432.34341613105676, -245.68075268692013, 1.6955555618377787, 19.551798501783168, 30.834776882193495, 26.712355754242708, 31.83960243974829, -11.693468319045422]"
30,-23,-120,1,71.00388979911804,2047.932687044144,"[-42.215953718135154, 61.3800644330104, -82.39225592827506, -86.12951459615391, -8.936546301968065, -2.020930813874031, 46.432491068696265, -47.58416563485724, -76.16505554984053, 57.59945178821195, -54.91798653521121, -33.67071035012572, -40.59226592076871, -22.151745724365583, -47.347997380518876, -53.2742442075876, -62.01968601391303, -97.71342782464444, -57.3567536379073, -60.71724262011679]"
